Interaction_ID,Customer_ID,Interaction_Date,Channel,Feedback,Rating
351ad9d0-a28f-4f22-b7e5-2e4b74500a56,C043,2022-12-27,Email,Positive,3
ecd0a12f-c7d4-46d6-9035-e1eb1cd8c8ec,C018,2020-01-01,Phone,Neutral,3
7a69bedf-947c-4a38-8657-1c3e8a180aca,C080,2022-11-16,Website,Negative,4
3ece5481-cd8e-4f7f-b0db-c9b8c2d9138c,C023,2023-04-05,Website,Positive,3
00ecf8e4-6ade-4322-a80a-395b8843c942,C071,2021-12-17,Phone,Negative,4
b66bd3c0-4ac9-41dd-ba3b-11378bcac116,C010,2024-08-01,Phone,Neutral,3
40033907-9514-44ad-9d1c-21317ff64168,C045,2021-02-09,Phone,Negative,4
08d7157a-a4af-4d2e-8aff-29b5610e270a,C062,2022-03-30,Email,Positive,3
4d43be99-3fab-4fe1-b988-902fba1fcd93,C071,2020-12-01,In-Store,Negative,3
bced0735-cf91-42e6-86f8-9c55013134cf,C001,2020-12-06,Email,Positive,5
72f71f8d-dee4-41a3-97d4-182a997487c2,C034,2021-02-18,Website,Negative,2
c7ad1f75-b3c2-4d61-889b-3ad5cb1b16f3,C029,2021-12-31,Website,Neutral,1
865d2884-8e4b-475c-b913-a0dfdfff72b3,C043,2022-09-06,In-Store,Positive,1
8db8dcaf-d620-4d61-9f35-b47eb8733827,C083,2025-01-16,Phone,Neutral,3
7de1a15e-3715-41e1-ad6b-b355c0f151df,C069,2021-12-05,Email,Positive,3
ac75489a-bcc9-46cf-b6ca-2b89dda74b8d,C048,2022-06-11,In-Store,Neutral,2
02047bc0-4d36-45e3-987e-b2812624ccb8,C078,2022-10-29,Email,Positive,3
0788e525-9cce-4d5d-bf01-ccf494830927,C048,2023-03-28,In-Store,Negative,3
78547215-c414-449c-a573-79d64b4e11c7,C009,2021-06-08,Phone,Positive,3
c7ac13fd-0067-418c-a2f5-82f364137276,C039,2021-09-25,Phone,Negative,4
86f68e84-1adb-461b-a7c8-6252a9ffd126,C022,2024-03-11,In-Store,Negative,4
1d52f050-4012-4f59-8c57-8cc0874b3deb,C024,2024-07-27,Email,Negative,5
9bfe77d1-ba9e-468f-acf8-2a251e3d993f,C020,2025-02-06,Phone,Neutral,4
e9153b50-cc04-4356-89a6-bf545fc8f2b7,C007,2021-04-13,Email,Neutral,1
5d4ce0ac-0e8d-4ebd-b880-24a0d842982c,C030,2022-03-23,Website,Neutral,2
4bedf31f-b425-4a8c-82c8-f9708c3dd9f5,C037,2021-08-13,Phone,Positive,2
536878d9-b46f-458c-a184-034ef13f9e9e,C020,2020-04-20,Email,Positive,3
b940d3cd-f8a2-4416-bdfc-f23ba7ebccc6,C081,2021-12-17,Phone,Neutral,3
62b99217-fd40-46c7-bb07-eac0f3432b0b,C059,2021-12-23,Phone,Negative,2
ea96f2e4-295c-4243-8f46-2183a9745299,C063,2020-12-13,In-Store,Neutral,1
55ec743d-7da8-47c5-8c0a-bdde8e27a4b0,C092,2024-02-08,Website,Negative,4
af505d6b-5d19-4217-b891-52f405d17ff5,C092,2020-10-19,Website,Positive,2
cfb27ea1-af54-4b86-96f5-0db343623bfa,C019,2025-04-03,In-Store,Positive,3
994c9c72-b327-45ed-b921-23437dc151c8,C007,2020-09-01,Website,Positive,2
c70785a5-b1ab-4a02-a060-1ad8c02995d5,C095,2023-04-28,In-Store,Positive,1
f84e4e94-b3a4-4f8a-b5c2-ad15742bc833,C070,2023-04-09,Phone,Neutral,4
d18991ba-8616-40e8-9826-79cab546563c,C034,2023-01-03,Phone,Negative,1
294e1a31-23da-4c27-aeda-58b91e8e3c9d,C079,2024-10-29,Email,Positive,4
7ff8bc54-0760-4ad9-bf7b-e0dde0c35721,C001,2020-07-30,In-Store,Neutral,5
f62202fb-b028-473e-8608-2940455207cd,C026,2021-03-14,Phone,Positive,1
c1a16ef9-e2f3-4254-ab01-69531c0bc662,C021,2024-03-27,In-Store,Positive,5
6564e620-6abd-4716-b724-c7c45fbc3e94,C084,2022-04-23,In-Store,Negative,1
1a351813-8de3-438e-8b6d-94522913a1ae,C002,2021-11-08,Website,Neutral,5
2fdeba55-94f9-4fa4-b44b-fe7544c5a4bd,C023,2020-09-29,Phone,Positive,1
ddf47f13-b504-493d-8253-4912fc819ad4,C054,2021-04-09,Phone,Negative,3
71b90b09-685f-4636-b927-c21c3f8a2e16,C015,2020-08-21,In-Store,Neutral,3
2704941e-083d-433f-adcf-98c656eb85d9,C098,2024-02-16,In-Store,Neutral,3
f440b1a0-0130-4c8e-9153-57fc7ecd56a6,C053,2022-08-02,In-Store,Neutral,3
